,revid,parentid,user,anon,userid,timestamp,size,sha1,comment,page,date,diff,lag,age
16,434336,302785,Enchanter,,1104,2002-09-21 11:39:11+00:00,522,7e4931f3d3f3e4077e11036d59bbe45658962c9c,Removing disambiguation block (this isn't just a disambiguation page),Buffalo,2002-09-21,-270.0,255899.0,279.57848379629627
17,449162,434336,64.26.98.90,True,0,2002-11-19 15:56:14+00:00,565,a3ea6a6570a4281ec7dcebd75e3e51d96b32c381,Added Iowa and Wyo. to places,Buffalo,2002-11-19,43.0,5113023.0,338.7569907407407
18,1329530,449162,64.26.98.90,True,0,2002-11-27 19:42:00+00:00,627,57c20a1fbf2329ce8cd43ae05254dfad3b2a1c7f,Added Wisc. and twp. in Pa.,Buffalo,2002-11-27,62.0,704746.0,346.91377314814815
19,1644670,1329530,BRG,,10857,2003-08-22 15:50:31+00:00,648,55b75f3852db99856f3917c6f7590301767d1110,Added Tex.,Buffalo,2003-08-22,21.0,23141311.0,614.7530208333334
20,1644826,1644670,BRG,,10857,2003-10-29 20:01:58+00:00,694,0c9f17d487a995b943f59e5b6022226be1060d8d,"Added Buffalo Grove, Ill.",Buffalo,2003-10-29,46.0,5890287.0,682.9276388888889
21,2142315,1644826,Rmhermen,,835,2003-10-29 20:34:22+00:00,671,66364624bd3bafef767c30e1b2cd340f9a139e83,,Buffalo,2003-10-29,-23.0,1944.0,682.9501388888889
22,2142322,2142315,216.68.189.139,True,0,2004-01-13 02:33:48+00:00,712,079b1bb6565d4e2aece8003fc6b2af749f85a506,Buffalo,Buffalo,2004-01-13,41.0,6501566.0,758.1997453703704
23,2185197,2142322,216.68.189.139,True,0,2004-01-13 02:34:20+00:00,713,6464a6b88aa77e82960c6a0256819204ab345264,Buffalo,Buffalo,2004-01-13,1.0,32.0,758.2001157407408
24,3728446,2185197,Pilaf~enwiki,,21931,2004-01-19 17:35:36+00:00,731,ff0035e1ee94057f992aa81072c43cd4bfb91f1f,es:,Buffalo,2004-01-19,18.0,572476.0,764.8259953703704
25,3728531,3728446,66.245.30.110,True,0,2004-05-25 20:12:03+00:00,766,c605bb489b9605fc096e7b25980eb9988392fa99,This looks like a dis-ambiguation page to me. Please do not revert unless you have any REAL objections.,Buffalo,2004-05-25,35.0,10982187.0,891.9346412037037
26,3881858,3728531,Meelar,,31618,2004-05-25 20:20:35+00:00,751,71d42920d2c845106a44a27796f0b440ecd52bdb,change to proper footer,Buffalo,2004-05-25,-15.0,512.0,891.9405671296296
27,4520325,3881858,Template namespace initialisation script,,1233731,2004-06-04 00:54:11+00:00,729,494b76574b25587ef04cf8a74471f3df9b7759d6,,Buffalo,2004-06-04,-22.0,794016.0,901.1305671296296
28,4611575,4520325,Guanabot,,82928,2004-07-09 02:24:06+00:00,743,acb8a9127c5bf95f420faaabe20abb4b2199a1ae,Guanaco - Robot-assisted redirect bypassing: United States of America,Buffalo,2004-07-09,14.0,3029395.0,936.1930092592593
29,4709006,4611575,83.155.118.149,True,0,2004-07-13 20:03:15+00:00,757,eee493531e0c4f9e39be210c3126287ec5d88e58,[[fr:Buffle]],Buffalo,2004-07-13,14.0,409149.0,940.9285300925926
30,5258442,4709006,Dubidubno,,29272,2004-07-18 14:18:45+00:00,793,149a491453b6bb00985c90f19f0a27f4a52bbe11,+Buffalo Boots,Buffalo,2004-07-18,36.0,411330.0,945.6892939814815
31,5751145,5258442,129.94.6.28,True,0,2004-08-17 08:20:52+00:00,831,f647b12600a255bae2a1f95b0721b45ca22a7a4e,,Buffalo,2004-08-17,38.0,2570527.0,975.4407638888889
32,6238162,5751145,Livajo,,91707,2004-09-09 00:05:41+00:00,862,53ffc993e238301e1c6d5426aab590e4c844a394,,Buffalo,2004-09-09,31.0,1957489.0,998.0968865740741
33,8724758,6238162,Quadell,,57108,2004-09-29 20:39:45+00:00,1243,ff04949c7c43bba3e3da0b88c4787eca4328fc49,Added many Buffalo,Buffalo,2004-09-29,381.0,1802044.0,1018.9538773148148
34,9135857,8724758,217.234.130.226,True,0,2004-12-22 21:52:00+00:00,1258,da154710aacbff09d3c93813697a0a409de70068,,Buffalo,2004-12-22,15.0,7261935.0,1103.0040509259259
35,9135955,9135857,12.74.168.184,True,0,2005-01-05 23:58:59+00:00,1272,eeb06bc989e7afc96ec3bcdb5c85e001e91f24a3,redo species list,Buffalo,2005-01-05,14.0,1217219.0,1117.0922337962963
36,9136210,9135955,12.74.168.184,True,0,2005-01-06 00:02:47+00:00,1316,be4426e6f9182243c84c1e45c6ff953e63b2a691,clarification,Buffalo,2005-01-06,44.0,228.0,1117.0948726851852
37,9176054,9136210,12.74.168.184,True,0,2005-01-06 00:13:23+00:00,1335,cef18deedddd9d136fd251315b1378bfe7daad05,a bit clearer,Buffalo,2005-01-06,19.0,636.0,1117.1022337962963
38,10022076,9176054,Yekrats,,48150,2005-01-07 14:24:58+00:00,1349,619640852097be367ccd31a0ee6fffc54f572742,+eo,Buffalo,2005-01-07,14.0,137495.0,1118.693611111111
39,10582678,10022076,Improv,,125204,2005-02-07 04:42:35+00:00,1349,7e5dce0db35de74bf77700532d724ebabb2f253c,Fix link to American Bison,Buffalo,2005-02-07,0.0,2643457.0,1149.2891782407407
40,12121098,10582678,PBS,,26801,2005-02-26 09:18:11+00:00,1371,9920186256a2091f143e149e2c9dd8aa1a5de234,,Buffalo,2005-02-26,22.0,1658136.0,1168.4805671296297
41,14027084,12121098,Dryazan,,75150,2005-04-10 14:26:53+00:00,1383,64f75078525ac0fb5a49ded2aa01e11228046b88,,Buffalo,2005-04-10,12.0,3733722.0,1211.6949421296297
42,14422439,14027084,Benny Benjamin,,212846,2005-05-21 16:35:18+00:00,1536,538078c7d8bb93dfb2f41af87a8b5f22d395b37f,Added the BUFFALO monitor program for 68HC11,Buffalo,2005-05-21,153.0,3550105.0,1252.7841203703704
43,15860266,14422439,209.161.228.111,True,0,2005-05-29 23:53:22+00:00,1658,cebacf0866c13e3f46bd376bd8c412985e119a5c,,Buffalo,2005-05-29,122.0,717484.0,1261.0883333333334
44,15903076,15860266,217.43.221.25,True,0,2005-06-26 13:25:40+00:00,1657,8eac778d76a5e7690ea346cf22c423099217ab36,Moved Buffalo City,Buffalo,2005-06-26,-1.0,2381538.0,1288.6524305555556
45,18255357,15903076,Raymond,,125821,2005-07-06 12:37:04+00:00,1631,53ffff9d2b0a85b3dfa7846f58cfeefd5bf4bd26,fix de: - es: eo: fr:,Buffalo,2005-07-06,-26.0,861084.0,1298.6186805555556
46,18255378,18255357,Raymond,,125821,2005-07-06 12:37:54+00:00,1633,80ebdbb1a32b3545e654dbfc3432dcb654194471,typo,Buffalo,2005-07-06,2.0,50.0,1298.6192592592593
47,18615763,18255378,Say1988,,137820,2005-07-11 18:34:58+00:00,1731,76ba8af7f3d8540d241a8d36a11ce1ef80c4a423,,Buffalo,2005-07-11,98.0,453424.0,1303.8672222222222
48,18964298,18615763,81.18.198.28,True,0,2005-07-16 17:02:37+00:00,1746,9902f2420186f84024c5d104fc82d58f08968064,pl,Buffalo,2005-07-16,15.0,426459.0,1308.8030902777778
49,19296315,18964298,192.87.93.10,True,0,2005-07-21 12:28:00+00:00,1862,825bdfcc3acf625e36da3b76d71db7b72433d69f,,Buffalo,2005-07-21,116.0,415523.0,1313.6123842592592
50,20670822,19296315,209.205.136.115,True,0,2005-08-10 04:23:35+00:00,1931,e6e03d669170bf48b57f97f3d2bdd47a59e32a92,added buffalo fish to list,Buffalo,2005-08-10,69.0,1698935.0,1333.2759837962963
51,20670949,20670822,209.205.136.115,True,0,2005-08-10 04:26:13+00:00,1917,71c2950505f1533f47b5cb475be512320f4c4014,added to list for clarity,Buffalo,2005-08-10,-14.0,158.0,1333.2778125
52,20671047,20670949,209.205.136.115,True,0,2005-08-10 04:28:17+00:00,1946,8f0f49868bec584379cb235f5ba3977c39e5bab8,,Buffalo,2005-08-10,29.0,124.0,1333.2792476851853
53,20671162,20671047,209.205.136.115,True,0,2005-08-10 04:30:21+00:00,1983,f0dcc4f457b7faeab27464747eb2a97e7b7399a5,,Buffalo,2005-08-10,37.0,124.0,1333.2806828703704
54,20671210,20671162,209.205.136.115,True,0,2005-08-10 04:31:30+00:00,1938,f8f37c5d68ff314f81a5c6f672a5e0741ce524a4,,Buffalo,2005-08-10,-45.0,69.0,1333.2814814814815
55,21045425,20671210,Garglebutt,,284140,2005-08-15 05:28:49+00:00,1890,ce2eb5624a0a1d3be1b68aebb360fb2ffe52f5c5,Remove [[Wikipedia:Avoid weasel terms|Weasel words]],Buffalo,2005-08-15,-48.0,435439.0,1338.3212847222221
56,21249136,21045425,LanguidMandala,,375885,2005-08-17 22:57:46+00:00,1891,c56f847b8365ae72da707c2941713053abd5dd6c,,Buffalo,2005-08-17,1.0,235737.0,1341.0497222222223
57,21293313,21249136,82.35.107.44,True,0,2005-08-18 14:56:24+00:00,1793,945aa71965243a4d102267e9823bf8b5c72670a0,"American Buffalo are not buffalo, but bison.  They're related, but not the same.",Buffalo,2005-08-18,-98.0,57518.0,1341.7154398148148
58,21314578,21293313,24.191.114.30,True,0,2005-08-18 20:37:19+00:00,1834,6a383942d1572d87bcc72437731b9f5a5bb040bf,,Buffalo,2005-08-18,41.0,20455.0,1341.9521875
59,21839076,21314578,12.74.168.186,True,0,2005-08-25 22:39:44+00:00,1932,6e381049b3324aa75a595f1e7d7bda2705e883c4,"buffalo-bison; this is a dab, check your dictionary",Buffalo,2005-08-25,98.0,612145.0,1349.0371990740741
60,22660694,21839076,Dubidubno,,29272,2005-09-06 00:50:07+00:00,1891,c56f847b8365ae72da707c2941713053abd5dd6c,removed [[Wikipedia:Avoid_weasel_terms|weasel words]],Buffalo,2005-09-06,-41.0,958223.0,1360.1277430555556
61,23074028,22660694,24.184.193.62,True,0,2005-09-12 01:39:54+00:00,1937,2029cce934e7c8ad2c1e8988a720dc7374511e00,,Buffalo,2005-09-12,46.0,521387.0,1366.1623148148149
62,23213474,23074028,Dubidubno,,29272,2005-09-14 09:34:17+00:00,1897,4d100dd204e43b7802496f8fbd8a97e85621356b,reverted to previous version,Buffalo,2005-09-14,-40.0,201263.0,1368.4917476851851
63,23213498,23213474,Dubidubno,,29272,2005-09-14 09:35:17+00:00,1891,c56f847b8365ae72da707c2941713053abd5dd6c,removed ''',Buffalo,2005-09-14,-6.0,60.0,1368.4924421296296
64,23414379,23213498,Ezerics,,440445,2005-09-17 21:34:58+00:00,1927,8d194d99cc3eb6571e6994d85c39b9395df6e868,"Do NOT change the Buffalo, NY entry again. The reference does not constitute 'weasel words,' but is merely descriptive!",Buffalo,2005-09-17,36.0,302381.0,1371.9922222222222
65,23461546,23414379,Dubidubno,,29272,2005-09-18 13:22:58+00:00,1925,57cc12b69a85fd00b2454e190fc73c81042b9549,Changed weasel words again. See talk.,Buffalo,2005-09-18,-2.0,56880.0,1372.6505555555555
66,23632454,23461546,4.242.198.243,True,0,2005-09-20 22:51:57+00:00,1987,f6d68b5ff4166fa81e48c4d5cb9ec2843ecdd490,,Buffalo,2005-09-20,62.0,206939.0,1375.0456828703705
67,23794198,23632454,RobotE,,273237,2005-09-23 00:36:58+00:00,2001,f1d7c0bd216847ee672bc9aa0fc7edee7d29e099,robot  Adding: nl,Buffalo,2005-09-23,14.0,179101.0,1377.118611111111
68,23819445,23794198,Los688,,294540,2005-09-23 09:06:44+00:00,2027,b5e9377ab67a49a9a52730cb106c3a068117c7a8,ja,Buffalo,2005-09-23,26.0,30586.0,1377.4726157407408
69,24781544,23819445,QVanillaQ,,120566,2005-10-05 03:09:13+00:00,2034,dfd243c426eb779b6ef73b813d3bc39bcf252f42,,Buffalo,2005-10-05,7.0,1015349.0,1389.2243402777779
70,24833086,24781544,140.32.73.75,True,0,2005-10-05 19:14:05+00:00,2035,b0f5f102a389da503363a061823f9aa9f918fb5a,,Buffalo,2005-10-05,1.0,57892.0,1389.8943865740741
71,24992974,24833086,216.185.69.65,True,0,2005-10-07 18:05:13+00:00,2025,6c87fd54d2c1a0ce6adddca2fde97c81607ea682,,Buffalo,2005-10-07,-10.0,168668.0,1391.8465625
72,24992996,24992974,RoyBoy,,94806,2005-10-07 18:05:35+00:00,2035,b0f5f102a389da503363a061823f9aa9f918fb5a,Reverted edits by [[Special:Contributions/216.185.69.65|216.185.69.65]] to last version by 140.32.73.75,Buffalo,2005-10-07,10.0,22.0,1391.8468171296297
73,24993071,24992996,216.185.69.65,True,0,2005-10-07 18:06:43+00:00,2033,54e10ad2eb8e071baf92de592aee4dadd09a47ae,,Buffalo,2005-10-07,-2.0,68.0,1391.8476041666668
74,24993102,24993071,Adashiel,,73292,2005-10-07 18:07:03+00:00,2035,b0f5f102a389da503363a061823f9aa9f918fb5a,rvv,Buffalo,2005-10-07,2.0,20.0,1391.8478356481482
75,25757566,24993102,69.122.74.166,True,0,2005-10-17 18:30:19+00:00,2035,16d0c77346a2f3ecce014c7e8f989a5408de9494,,Buffalo,2005-10-17,0.0,865396.0,1401.8639930555555
76,26134930,25757566,QVanillaQ,,120566,2005-10-21 22:12:53+00:00,2035,b0f5f102a389da503363a061823f9aa9f918fb5a,rvv,Buffalo,2005-10-21,0.0,358954.0,1406.0185532407406
77,26152085,26134930,172.150.126.184,True,0,2005-10-22 02:15:24+00:00,2041,debd188927fefdcc5f6cf79ddb9dfa418cab594a,,Buffalo,2005-10-22,6.0,14551.0,1406.1869675925925
78,26849581,26152085,70.18.236.157,True,0,2005-10-30 04:13:27+00:00,2022,fb36204bbbc8605bc5fbd75ef07dd87526ee07bb,,Buffalo,2005-10-30,-19.0,698283.0,1414.2689467592593
79,27039982,26849581,Btm,,470005,2005-11-01 04:19:16+00:00,2022,26116408563299a48b8ed71405120149370b3325,avoid redirect,Buffalo,2005-11-01,0.0,173149.0,1416.272986111111
80,27261841,27039982,Esprit15d,,379272,2005-11-03 16:03:33+00:00,2085,4f88db1c01d66045a34180ce0a7dc2219c02c39f,added band named buffalo,Buffalo,2005-11-03,63.0,215057.0,1418.7620717592592
81,27516296,27261841,Gjs238,,486612,2005-11-06 08:18:36+00:00,2081,12b072d25fc28cbc3d9f5b9c393cc81c8733debf,remove African Buffalo disambiguation,Buffalo,2005-11-06,-4.0,231303.0,1421.4391898148149
82,27554319,27516296,NorthernFire,,458572,2005-11-06 20:13:32+00:00,2140,04f786e6671ef51d0b979c05396f83c57a9d1b83,reworded Buffalo the proposed province in Western Canada,Buffalo,2005-11-06,59.0,42896.0,1421.9356712962963
83,27554600,27554319,NorthernFire,,458572,2005-11-06 20:19:00+00:00,2152,90e7c14f9a0fdb65dd7863940074e07f5dd1473d,,Buffalo,2005-11-06,12.0,328.0,1421.9394675925926
84,27747235,27554600,Esprit15d,,379272,2005-11-08 19:12:45+00:00,2152,3a275c41de47922c49c807167020322766f032e2,,Buffalo,2005-11-08,0.0,168825.0,1423.8934606481482
85,29213878,27747235,86.139.51.57,True,0,2005-11-25 15:15:04+00:00,2161,208844cf0163484bca43a7e621a2390712b40b29,,Buffalo,2005-11-25,9.0,1454539.0,1440.7284027777778
86,29213928,29213878,86.139.51.57,True,0,2005-11-25 15:16:06+00:00,2223,79e5e4107efc222140b55f2f75817cdfa41da09a,,Buffalo,2005-11-25,62.0,62.0,1440.7291203703703
87,29295152,29213928,Samson So Photography,,584990,2005-11-26 17:09:51+00:00,2308,be062c0033e4768779a559ba6047c9dc6e8c8a93,/* Other things called Buffalo */,Buffalo,2005-11-26,85.0,93225.0,1441.808113425926
88,30497140,29295152,128.175.116.202,True,0,2005-12-07 19:01:02+00:00,2308,d28678b3b6e9b7a5d89d46d8fd620ea2e473d02d,linkfix,Buffalo,2005-12-07,0.0,957071.0,1452.885324074074
89,31125792,30497140,66.115.199.165,True,0,2005-12-13 00:54:19+00:00,2496,af8ae19847fabcaf8de72e3be8cc1406d81c2d9c,/* Places called Buffalo */,Buffalo,2005-12-13,188.0,453197.0,1458.1306597222222
90,31125956,31125792,66.115.199.165,True,0,2005-12-13 00:55:41+00:00,2501,8d48b35f927cd521b7666c78ca66fe2fc9c9802c,/* Other things called Buffalo */,Buffalo,2005-12-13,5.0,82.0,1458.1316087962964
91,31126285,31125956,66.115.199.165,True,0,2005-12-13 00:58:23+00:00,2579,d45ec437a6315cfd17b43d50662c9908076a6396,/* Other things that have a wiener. */,Buffalo,2005-12-13,78.0,162.0,1458.1334837962963
92,31126436,31126285,Kizor,,26692,2005-12-13 00:59:31+00:00,2308,d28678b3b6e9b7a5d89d46d8fd620ea2e473d02d,rv to 128,Buffalo,2005-12-13,-271.0,68.0,1458.1342708333334
93,31173793,31126436,Ezeu,,328201,2005-12-13 09:57:44+00:00,2222,d06dfb40951c511c2829a74aa31692da7c7c4713,/* Other things called Buffalo */ rm dab to external link,Buffalo,2005-12-13,-86.0,32293.0,1458.5080324074074
94,32032285,31173793,202.147.143.166,True,0,2005-12-20 00:05:19+00:00,2360,480fd306a76c47595370d50bee469b7a0b5ecbee,/* Other things called Buffalo */,Buffalo,2005-12-20,138.0,569255.0,1465.0966319444444
95,32032320,32032285,202.147.143.166,True,0,2005-12-20 00:05:35+00:00,2360,e3f94ea1d2d954571de31667f4e06f678b5d9374,/* Other things called Buffalo */,Buffalo,2005-12-20,0.0,16.0,1465.0968171296297
96,32032447,32032320,202.147.143.166,True,0,2005-12-20 00:06:36+00:00,2379,f606f2d51c3b41bf0ed39851896f7104821223a4,/* Other things called Buffalo */,Buffalo,2005-12-20,19.0,61.0,1465.0975231481482
97,33704834,32032447,67.166.191.153,True,0,2006-01-03 07:52:35+00:00,2481,3e97e0a2340c2795d1e8c6f77774ba7631dce112,/* Other things called Buffalo */,Buffalo,2006-01-03,102.0,1237559.0,1479.421122685185
98,33705054,33704834,67.166.191.153,True,0,2006-01-03 07:55:44+00:00,2511,676431fff8fad8a50338ded209e42eee5fed0cf6,/* Other things called Buffalo */,Buffalo,2006-01-03,30.0,189.0,1479.423310185185
99,33782769,33705054,Dharmabum420,,658713,2006-01-04 00:02:53+00:00,2608,03f215e0be80d32e8576b75b475dff1e2e204b0f,/* Other things called Buffalo */ adding [[Buffalo (game)|Buffalo (game)]],Buffalo,2006-01-04,97.0,58029.0,1480.0949421296295
100,34540916,33782769,Habj,,9471,2006-01-09 22:47:26+00:00,2623,f1fa1f3f70197aa59ab738cb1d6182749b8e53b1,adding sv:,Buffalo,2006-01-09,15.0,513873.0,1486.0425462962962
101,35056962,34540916,Zafiroblue05,,284148,2006-01-13 20:33:45+00:00,2623,063d2a64701980d10399c66339b0c25e79d1f59f,/* Other things called Buffalo */ caps,Buffalo,2006-01-13,0.0,337579.0,1489.949710648148
102,35057060,35056962,Zafiroblue05,,284148,2006-01-13 20:34:41+00:00,2638,e4fc4ccff43e14d1e88adba79d9e7e9211772cf6,interwiki,Buffalo,2006-01-13,15.0,56.0,1489.9503587962963
103,36674674,35057060,Greydream,,61868,2006-01-25 18:58:14+00:00,2726,1045fa3eebcdfd9d32c882d20ec1f500b6babba1,/* Other things called Buffalo */,Buffalo,2006-01-25,88.0,1031013.0,1501.8833796296296
104,36782139,36674674,Herostratus,,450380,2006-01-26 12:39:31+00:00,2708,d4d7eb18fac19c0ccb561336933925f35f2e1f13,format buffalo NY; Buffalo Springield is -> was,Buffalo,2006-01-26,-18.0,63677.0,1502.6203819444445
105,37801074,36782139,70.64.99.121,True,0,2006-02-02 05:19:57+00:00,2798,739ee67e139b9312e59e828121ee6dbac9176c70,/* Other things called Buffalo */,Buffalo,2006-02-02,90.0,578426.0,1509.3151273148148
106,37801107,37801074,70.64.99.121,True,0,2006-02-02 05:20:13+00:00,2785,d9bafc17621a9e22921aa10b8b6ce919e32588d2,/* Other things called Buffalo */,Buffalo,2006-02-02,-13.0,16.0,1509.3153125
107,37801263,37801107,Bigdaddy1999,,425410,2006-02-02 05:21:33+00:00,2781,aedce7cc73a11f9fddc2816b47783928ef0f6a33,/* Other things called Buffalo */,Buffalo,2006-02-02,-4.0,80.0,1509.316238425926
108,38574899,37801263,209.90.162.53,True,0,2006-02-07 05:07:30+00:00,2781,d061343c5ccb61f9f2ef13800549a795fe9064f4,shortcut water Buffalo,Buffalo,2006-02-07,0.0,431157.0,1514.3064814814816
109,39373168,38574899,Geo Swan,,124348,2006-02-12 19:09:54+00:00,2821,912172b2db8f4338c2e36e27d32140c11b781a2b,/* Other things called Buffalo */,Buffalo,2006-02-12,40.0,482544.0,1519.8914814814814
110,40391237,39373168,35.11.133.67,True,0,2006-02-20 05:52:33+00:00,2978,fecb3200996d1b2045f2f28be3e4d4d4c6caf429,,Buffalo,2006-02-20,157.0,643359.0,1527.3377662037037
111,40391330,40391237,35.11.133.67,True,0,2006-02-20 05:53:29+00:00,2982,7b21e97a9e0b9d397fdff2dc8a56bfa65e7abbdc,,Buffalo,2006-02-20,4.0,56.0,1527.338414351852
112,46884750,40391330,Mahanga,,153556,2006-04-04 07:07:14+00:00,2934,fdf742f61614489fa12f2d42fe3a4a31070fd55b,/* Other things called Buffalo */ rm extra links,Buffalo,2006-04-04,-48.0,3719625.0,1570.3896296296296
113,47824903,46884750,206.47.220.230,True,0,2006-04-10 17:31:19+00:00,3020,84ebf293084bec62c5d475a02d1157de6e4cba4c,/* Other things called Buffalo */,Buffalo,2006-04-10,86.0,555845.0,1576.8230208333334
114,47825082,47824903,206.47.220.230,True,0,2006-04-10 17:32:44+00:00,3025,30086a1c4409084284ca3fa141c02ae6866c000c,/* Other things called Buffalo */,Buffalo,2006-04-10,5.0,85.0,1576.8240046296296
115,49434169,47825082,GraemeLeggett,,187158,2006-04-21 12:23:49+00:00,3074,f5a4508842033cbe4a25df7aded62ffde88b42d2,/* Other things called Buffalo */,Buffalo,2006-04-21,49.0,931865.0,1587.6094791666667
116,49464255,49434169,HennessyC,,1059905,2006-04-21 16:40:44+00:00,3091,a6c8b5871015656577255d8b26047f01d975e4e9,,Buffalo,2006-04-21,17.0,15415.0,1587.7878935185186
117,49971801,49464255,HristineCay1001,,1314132,2006-04-24 20:35:50+00:00,3142,e68cd7796abfc8a52435297654a2e85bcc32d32b,/* Other things called Buffalo */,Buffalo,2006-04-24,51.0,273306.0,1590.9511574074074
118,52216450,49971801,Gochrisko,,1401751,2006-05-08 22:15:05+00:00,3140,52f8f76ac104ab8d684997eb0296247cada794d9,,Buffalo,2006-05-08,-2.0,1215555.0,1605.0200810185186
119,52216500,52216450,Llort,,1270766,2006-05-08 22:15:24+00:00,3142,e68cd7796abfc8a52435297654a2e85bcc32d32b,Reverted edits by [[Special:Contributions/Gochrisko|Gochrisko]] to last version by HristineCay1001,Buffalo,2006-05-08,2.0,19.0,1605.020300925926
120,52857874,52216500,Triskaideka,,86236,2006-05-12 16:46:31+00:00,3521,fad622608a10a15c381a5a8326b3dbc98791ef61,"/* Other things called Buffalo */ fix informal language, links, punctuation, style",Buffalo,2006-05-12,379.0,325867.0,1608.7919097222223
121,53606078,52857874,Asarelah,,341405,2006-05-17 00:44:38+00:00,3791,4b2369278cd0f8c22218ed5828b548be2cf29a49,,Buffalo,2006-05-17,270.0,374287.0,1613.1239351851852
122,54321401,53606078,Eras-mus,,180998,2006-05-21 07:50:19+00:00,3806,88becbd14acc4ea40d3835e02315d3211573a57c,,Buffalo,2006-05-21,15.0,371141.0,1617.4195486111112
123,54832104,54321401,67.70.94.225,True,0,2006-05-24 03:36:59+00:00,3628,8ecfd7eee8d73f82a83ee36779678f745b87c56a,/* People */,Buffalo,2006-05-24,-178.0,244000.0,1620.243622685185
124,54832111,54832104,Tawkerbot2,,1022601,2006-05-24 03:37:02+00:00,3806,88becbd14acc4ea40d3835e02315d3211573a57c,BOT - rv [[Special:Contributions/67.70.94.225|67.70.94.225]] ([[User talk:67.70.94.225|talk]]) to last version by Eras-mus,Buffalo,2006-05-24,178.0,3.0,1620.2436574074075
125,55069853,54832111,168.169.178.38,True,0,2006-05-25 14:15:55+00:00,3862,9571a05f5c8f8ef5094708b1b953256c974c61de,,Buffalo,2006-05-25,56.0,124733.0,1621.6873263888888
126,55070057,55069853,Jottce,,555420,2006-05-25 14:17:26+00:00,3806,88becbd14acc4ea40d3835e02315d3211573a57c,Revert to revision 54832111 using [[:en:Wikipedia:Tools/Navigation_popups|popups]],Buffalo,2006-05-25,-56.0,91.0,1621.6883796296297
